BasinID,X,Y,H,root_depth,competence,M_D,Dbh,area,strain,stable
2,483569.4,6989629.8,27.76,0.826,0.087044482,30.70370055,0.496563455,49.91046308,2.4,0
3,483888.6,6989494.2,27.58,0.803,0.0273739,10.96049296,0.491511554,49.48013656,0.9,0
4,483568.8,6989628,27.5,1.157,0.087753569,27.6691923,0.489272304,49.28917828,2.2,0
5,483887.4,6989494.2,27.04,0.99,0.027293761,10.25343452,0.476468998,48.19474728,0.9,0
6,483889.8,6989494.2,27.01,0.89,0.027296419,10.5918212,0.475638296,48.12358414,0.9,0
7,483935.4,6989520,26.68,1.179,0.107576481,35.14935608,0.466535448,47.34252099,3.3,0
8,483936,6989521.2,26.71,1.116,0.107839101,36.08999321,0.467360333,47.4133952,3.3,0
9,483934.8,6989521.8,26.59,1.162,0.103451664,33.92772029,0.464063976,47.13005672,3.2,0
10,483934.2,6989520.6,26.5,1.167,0.103003001,33.6375533,0.461597283,46.91783046,3.2,0
11,483870.6,6989532.6,26.55,1.438,0.030013087,9.324697542,0.462967078,47.03570452,0.9,0
12,483868.2,6989538.6,26.27,1.336,0.028211851,8.950659371,0.455315277,46.37655943,0.9,0
13,483871.2,6989530.8,26.14,1.584,0.030148704,8.923419944,0.45177845,46.07131618,0.9,0
14,483872.4,6989531.4,26.23,1.575,0.030284789,9.046171291,0.454225954,46.28258504,0.9,0
15,483919.2,6989463,26.06,0.92,0.035011955,16.14210822,0.449606933,45.88372372,1.7,0
16,483889.8,6989492.4,26.13,1.173,0.027456473,9.727212337,0.451506802,46.04785671,1,0
17,483889.8,6989495.4,26.07,0.904,0.027975657,10.81808993,0.449878164,45.90716236,1.1,0
18,483867,6989535.6,25.93,1.322,0.028491155,9.173037283,0.446086344,45.57929264,1,0
19,483868.2,6989535.6,25.93,1.336,0.028485461,9.122074772,0.446086344,45.57929264,1,0
20,483891,6989497.2,25.82,1.108,0.027023425,9.664237262,0.443115257,45.32209146,1,0
21,483861,6989503.8,25.81,1.299,0.031300201,10.38800733,0.442845516,45.2987275,1.1,0
22,483936.6,6989520,25.72,1.193,0.108271085,35.29673402,0.440420543,45.08858682,3.9,0
23,483869.4,6989535.6,25.76,1.367,0.028243966,8.900544186,0.441497711,45.18195267,1,0
24,483918.6,6989460,25.68,1.056,0.035260671,15.82740864,0.439344332,44.99526904,1.7,0
25,483890.4,6989490,25.61,1.186,0.02796643,9.834730742,0.437463271,44.83207874,1.1,0
26,483934.2,6989517.6,25.65,1.248,0.081328818,26.51582972,0.438537804,44.92531228,2.9,0
27,483568.8,6989632.2,25.67,0.655,0.10780315,40.30515362,0.43907543,44.97194711,4.5,0
28,483919.8,6989460,25.5,1.059,0.03490054,15.56299502,0.434513255,44.57593522,1.8,0
29,483889.8,6989497.2,25.56,1.049,0.027954655,10.27963559,0.436121454,44.71560461,1.2,0
30,483883.2,6989467.8,25.46,1.963,0.030876264,9.889499242,0.433442323,44.48288272,1.1,0
31,483888,6989496.6,25.4,0.965,0.027754506,10.43339989,0.43183773,44.34339473,1.2,0
32,483890.4,6989481.6,25.35,2.024,0.029402925,8.789461726,0.430502223,44.22723804,1,0
33,483893.4,6989490.6,25.27,0.875,0.027596211,10.63714247,0.428368545,44.04154512,1.3,0
34,483933.6,6989522.4,25.27,1.219,0.102187842,32.44239118,0.428368545,44.04154512,3.9,0
35,483853.2,6989545.8,25.36,1.2,0.026663816,8.853343664,0.430769204,44.25046331,1,0
36,483921,6989462.4,25.16,0.931,0.028095161,13.01482495,0.425441041,43.78653512,1.6,0
37,483894.6,6989490.6,25.25,0.854,0.027574959,10.69524602,0.427835728,43.99515227,1.3,0
38,483937.2,6989521.2,25.17,1.103,0.108392767,36.44064185,0.425706876,43.80970262,4.4,0
39,483885.6,6989455.2,25.06,1.535,0.028090739,10.80921392,0.422786017,43.55502796,1.3,0
40,483920.4,6989461.2,25.14,0.982,0.028046708,12.85249943,0.424909552,43.74020927,1.6,0
41,483933.6,6989519.4,25.13,1.192,0.081492811,27.06772898,0.424643899,43.71705092,3.3,0
42,483870,6989530.2,25.11,1.554,0.030252859,9.044901251,0.424112773,43.67074338,1.1,0
43,483873,6989532.6,25.04,1.542,0.0301525,9.032328828,0.422255739,43.50876318,1.1,0
44,483939,6989411.4,24.94,1.186,0.055052703,24.72155061,0.41960798,43.27762296,3.1,0
45,483883.2,6989465.4,24.97,1.923,0.030978623,10.13316904,0.420401671,43.34693286,1.3,0
46,483934.8,6989515.8,24.98,1.316,0.080729804,25.51091999,0.420666356,43.37004229,3.2,0
47,483931.8,6989526.6,25.02,1.28,0.096575569,32.34200399,0.421725702,43.46251064,4,0
48,483869.4,6989538,25.03,1.34,0.028742631,9.215689842,0.42199069,43.48563538,1.1,0
49,483814.8,6989611.8,25.01,1.872,0.046697791,11.32035996,0.421460775,43.43938896,1.4,0
50,483908.4,6989423.4,24.84,1.35,0.034214406,14.7930263,0.416966286,43.04678941,1.9,0
51,483903.6,6989426.4,24.91,1.17,0.023573912,10.80890441,0.418814834,43.20834065,1.4,0
52,483884.4,6989455.2,24.88,1.446,0.030396122,11.95731573,0.418022235,43.13908598,1.5,0
53,483874.2,6989532,24.86,1.504,0.029898527,9.020129361,0.417494139,43.09293155,1.2,0
54,483813,6989613.6,24.87,1.957,0.046353078,10.72688567,0.417758156,43.11600723,1.4,0
55,483908.4,6989422.2,24.72,1.422,0.034997903,14.97753875,0.413804273,42.77019515,2,0
56,483921,6989460,24.77,1.079,0.027422981,12.1395097,0.415120714,42.88538885,1.6,0
57,483883.8,6989469,24.72,1.998,0.031402964,9.966138575,0.413804273,42.77019515,1.3,0
58,483862.8,6989503.8,24.79,1.261,0.031399953,10.57000476,0.415647716,42.93148791,1.4,0
59,483934.8,6989523,24.72,1.186,0.105045889,34.35869043,0.413804273,42.77019515,4.5,0
60,483627.6,6989641.2,24.79,0.972,0.09662575,32.1636108,0.415647716,42.93148791,4.2,0
61,483957.6,6989409,24.67,1.257,0.068594501,30.42181036,0.412489354,42.65507857,4,0
62,483958.8,6989409,24.67,1.29,0.068567315,30.17343595,0.412489354,42.65507857,4,0
63,483879.6,6989461.2,24.67,1.594,0.036850696,13.66805605,0.412489354,42.65507857,1.8,0
64,483922.2,6989462.4,24.67,0.931,0.028162346,13.03603271,0.412489354,42.65507857,1.7,0
65,483883.8,6989463.6,24.67,1.943,0.031528082,10.35539427,0.412489354,42.65507857,1.4,0
66,483889.8,6989484,24.62,1.835,0.029918765,8.986034213,0.411175959,42.54003922,1.2,0
67,483893.4,6989488.2,24.61,1.022,0.029195713,10.9009054,0.410913463,42.51704063,1.5,0
68,483862.8,6989499,24.63,1.263,0.032493018,11.13728197,0.411438516,42.56304091,1.5,0
69,483844.2,6989510.4,24.67,0.813,0.04128271,16.09594939,0.412489354,42.65507857,2.1,0
70,483876.6,6989528.4,24.61,1.361,0.030410729,9.805767209,0.410913463,42.51704063,1.3,0
71,483865.2,6989536.2,24.68,1.359,0.029022733,9.293063387,0.412752216,42.67809571,1.2,0
72,483813.6,6989612.4,24.7,1.934,0.047187164,11.21804034,0.413278123,42.72413925,1.5,0
73,483573,6989628.6,24.64,0.974,0.082622919,27.80815427,0.411701134,42.58604569,3.7,0
74,483655.2,6989640,24.65,1.834,0.051740614,12.72997643,0.411963813,42.60905356,1.7,0
75,483858,6989463,24.55,1.934,0.059049651,19.26041834,0.409339767,42.37911408,2.6,0
76,483888,6989489.4,24.58,1.363,0.028776128,9.587534935,0.41012634,42.44806342,1.3,0
77,483891.6,6989494.2,24.56,0.99,0.028085133,10.49144468,0.409601897,42.4020941,1.4,0
78,483932.4,6989517.6,24.6,1.205,0.081530376,26.94390716,0.410651028,42.49404513,3.6,0
79,483810,6989612.4,24.53,1.997,0.046771305,10.68329967,0.40881569,42.33316335,1.5,0
80,483907.2,6989422.8,24.4,1.606,0.03426585,13.69255519,0.40541515,42.03478626,1.9,0
81,483903,6989425.2,24.49,1.286,0.023687093,10.55361798,0.407768269,42.24129911,1.4,0
82,483924,6989463,24.45,0.916,0.027796913,12.8301337,0.406721827,42.14948454,1.8,0
83,483855,6989469.6,24.48,1.493,0.042749412,15.59231683,0.407506567,42.21834081,2.1,0
84,483892.2,6989496.6,24.4,1.12,0.027279266,9.725331522,0.40541515,42.03478626,1.4,0
85,483864,6989502.6,24.44,1.225,0.031723715,10.90263217,0.406460369,42.12653867,1.5,0
86,483935.4,6989517.6,24.39,1.276,0.086147491,27.45900996,0.405153998,42.01185594,3.8,0
87,483867.6,6989532.6,24.44,1.297,0.028935826,9.431881509,0.406460369,42.12653867,1.3,0
88,483853.2,6989543.4,24.46,1.133,0.025594233,8.72217083,0.406983346,42.17243353,1.2,0
89,483814.2,6989613.6,24.48,1.928,0.046701381,11.01767598,0.407506567,42.21834081,1.5,0
90,483655.8,6989638.2,24.44,1.724,0.049836111,12.66351891,0.406460369,42.12653867,1.8,0
91,483657,6989638.8,24.4,1.735,0.049734196,12.55618832,0.40541515,42.03478626,1.8,0
92,483952.8,6989407.2,24.32,1.36,0.07404078,31.01342791,0.40332765,41.85143089,4.4,0
93,483936.6,6989413.8,24.32,1.106,0.054800826,25.03381706,0.40332765,41.85143089,3.5,0
94,483926.4,6989416.8,24.39,1.186,0.044518466,20.1278464,0.405153998,42.01185594,2.8,0
95,483905.4,6989425.2,24.38,1.27,0.019459751,8.73477174,0.404892907,41.98892873,1.2,0
96,483886.8,6989456.4,24.33,1.744,0.027707852,9.797221859,0.403588373,41.8743394,1.4,0
97,483919.8,6989465.4,24.34,0.862,0.03542195,16.43006845,0.403849158,41.89725104,2.3,0
98,483881.4,6989467.2,24.39,1.814,0.03094377,10.38932943,0.405153998,42.01185594,1.5,0
99,483854.4,6989545.8,24.38,1.237,0.0267786,8.773537764,0.404892907,41.98892873,1.2,0
100,483843,6989551.8,24.3,1.233,0.026179206,8.619850348,0.402806388,41.80562322,1.2,0
101,483709.8,6989649,24.3,2.043,0.070630787,15.2471259,0.402806388,41.80562322,2.2,0
102,483922.8,6989422.2,24.24,1.133,0.033081357,15.98893879,0.401244075,41.66827512,2.3,0
103,483883.2,6989460.6,24.24,1.799,0.0317965,11.07637725,0.401244075,41.66827512,1.6,0
104,483882,6989461.8,24.23,1.83,0.031761826,10.92496836,0.400983904,41.64539471,1.6,0
105,483922.2,6989464.2,24.2,0.88,0.02827646,13.2097356,0.40020376,41.57677223,1.9,0
106,483884.4,6989465.4,24.2,1.963,0.031474145,10.23214307,0.40020376,41.57677223,1.5,0
107,483915.6,6989467.2,24.22,0.917,0.036266847,16.63367179,0.400723795,41.62251742,2.4,0
108,483853.2,6989479.8,24.18,0.856,0.033971717,13.49160101,0.399683971,41.53103956,2,0
109,483891.6,6989488.8,24.23,1.205,0.029377143,10.36929826,0.400983904,41.64539471,1.5,0
110,483933,6989527.2,24.28,1.141,0.095721033,33.34514698,0.402285372,41.75982803,4.8,0
111,483868.8,6989531.4,24.27,1.378,0.028657131,9.050352189,0.402024955,41.73693512,1.3,0
112,483868.8,6989533.8,24.18,1.347,0.029347794,9.464134128,0.399683971,41.53103956,1.4,0
113,483709.8,6989647.2,24.19,2.294,0.071890065,14.07283467,0.399943835,41.55390433,2,0
114,483916.8,6989461.8,24.12,0.986,0.035349257,15.97753107,0.39812608,41.39391671,2.4,0
115,483859.2,6989462.4,24.1,1.808,0.059442694,20.34841372,0.397607275,41.34823418,3,0
