BasinID,X,Y,H,root_depth,competence,M_D,Dbh,area,strain,stable
2,483569.4,6989629.8,27.76,0.794,0.074214097,17.54233231,0.496563455,49.91046308,1.4,0
3,483888.6,6989494.2,27.58,0.773,0.024519295,6.393004824,0.491511554,49.48013656,0.5,0
4,483568.8,6989628,27.5,1.121,0.074840406,15.36521268,0.489272304,49.28917828,1.2,0
5,483887.4,6989494.2,27.04,0.96,0.024476191,5.89317944,0.476468998,48.19474728,0.5,0
6,483889.8,6989494.2,27.01,0.86,0.024472892,6.143907977,0.475638296,48.12358414,0.5,0
7,483935.4,6989520,26.68,1.14,0.088507503,17.97537498,0.466535448,47.34252099,1.7,0
8,483936,6989521.2,26.71,1.078,0.088672685,18.58021756,0.467360333,47.4133952,1.7,0
9,483934.8,6989521.8,26.59,1.123,0.085441912,17.44813936,0.464063976,47.13005672,1.6,0
10,483934.2,6989520.6,26.5,1.128,0.085125563,17.2955726,0.461597283,46.91783046,1.7,0
11,483870.6,6989532.6,26.55,1.402,0.026723423,5.027197185,0.462967078,47.03570452,0.5,0
12,483868.2,6989538.6,26.27,1.302,0.024982341,4.838381781,0.455315277,46.37655943,0.5,0
13,483871.2,6989530.8,26.14,1.547,0.026849537,4.745313332,0.45177845,46.07131618,0.5,0
14,483872.4,6989531.4,26.23,1.538,0.026950449,4.818954786,0.454225954,46.28258504,0.5,0
15,483919.2,6989463,26.06,0.898,0.029493774,9.237794695,0.449606933,45.88372372,1,0
16,483889.8,6989492.4,26.13,1.142,0.024629455,5.520701377,0.451506802,46.04785671,0.6,0
17,483889.8,6989495.4,26.07,0.875,0.025145406,6.308169968,0.449878164,45.90716236,0.7,0
18,483867,6989535.6,25.93,1.288,0.025198505,4.98390471,0.446086344,45.57929264,0.5,0
19,483868.2,6989535.6,25.93,1.303,0.025195569,4.948200046,0.446086344,45.57929264,0.5,0
20,483891,6989497.2,25.82,1.078,0.024151308,5.486801458,0.443115257,45.32209146,0.6,0
21,483861,6989503.8,25.81,1.267,0.027728527,5.720554318,0.442845516,45.2987275,0.6,0
22,483936.6,6989520,25.72,1.155,0.0890547,18.12255456,0.440420543,45.08858682,2,0
23,483869.4,6989535.6,25.76,1.334,0.025015392,4.815012691,0.441497711,45.18195267,0.5,0
24,483918.6,6989460,25.68,1.033,0.029691565,9.00912324,0.439344332,44.99526904,1,0
25,483890.4,6989490,25.61,1.155,0.025052432,5.575093811,0.437463271,44.83207874,0.6,0
26,483934.2,6989517.6,25.65,1.212,0.066498367,13.50435054,0.438537804,44.92531228,1.5,0
27,483568.8,6989632.2,25.67,0.616,0.107470865,27.32326893,0.43907543,44.97194711,3,0
28,483919.8,6989460,25.5,1.036,0.029430223,8.857670639,0.434513255,44.57593522,1,0
29,483889.8,6989497.2,25.56,1.019,0.02514665,5.927109109,0.436121454,44.71560461,0.7,0
30,483883.2,6989467.8,25.46,1.928,0.028351117,5.589373275,0.433442323,44.48288272,0.6,0
31,483888,6989496.6,25.4,0.937,0.024988794,6.062742872,0.43183773,44.34339473,0.7,0
32,483890.4,6989481.6,25.35,1.986,0.027372747,4.926782616,0.430502223,44.22723804,0.6,0
33,483893.4,6989490.6,25.27,0.848,0.024754181,6.207565626,0.428368545,44.04154512,0.7,0
34,483933.6,6989522.4,25.27,1.182,0.084615551,16.67669176,0.428368545,44.04154512,2,0
35,483853.2,6989545.8,25.36,1.169,0.023523182,4.855043814,0.430769204,44.25046331,0.6,0
36,483921,6989462.4,25.16,0.911,0.023266967,7.348581451,0.425441041,43.78653512,0.9,0
37,483894.6,6989490.6,25.25,0.827,0.024737075,6.253132588,0.427835728,43.99515227,0.7,0
38,483937.2,6989521.2,25.17,1.067,0.089152978,18.93731677,0.425706876,43.80970262,2.3,0
39,483885.6,6989455.2,25.06,1.505,0.026548332,6.642602116,0.422786017,43.55502796,0.8,0
40,483920.4,6989461.2,25.14,0.961,0.023231654,7.238792168,0.424909552,43.74020927,0.9,0
41,483933.6,6989519.4,25.13,1.158,0.066628395,13.90001582,0.424643899,43.71705092,1.7,0
42,483870,6989530.2,25.11,1.518,0.026940582,4.854342904,0.424112773,43.67074338,0.6,0
43,483873,6989532.6,25.04,1.507,0.026863273,4.855096933,0.422255739,43.50876318,0.6,0
44,483939,6989411.4,24.94,1.164,0.044682004,13.64179204,0.41960798,43.27762296,1.7,0
45,483883.2,6989465.4,24.97,1.889,0.02843688,5.777930325,0.420401671,43.34693286,0.7,0
46,483934.8,6989515.8,24.98,1.28,0.066117892,12.93454895,0.420666356,43.37004229,1.6,0
47,483931.8,6989526.6,25.02,1.244,0.08050211,16.84006993,0.421725702,43.46251064,2.1,0
48,483869.4,6989538,25.03,1.308,0.025407632,5.021662591,0.42199069,43.48563538,0.6,0
49,483814.8,6989611.8,25.01,1.826,0.040914856,5.547212656,0.421460775,43.43938896,0.7,0
50,483908.4,6989423.4,24.84,1.324,0.031054782,8.979738634,0.416966286,43.04678941,1.2,0
51,483903.6,6989426.4,24.91,1.149,0.020485868,6.377155176,0.418814834,43.20834065,0.8,0
