BasinID,X,Y,H,root_depth,competence,M_D,Dbh,area,strain,stable
2,483569.4,6989629.8,27.76,0.733,0.050507112,5.296130529,0.496563455,49.91046308,0.409020151,0
3,483888.6,6989494.2,27.58,0.749,0.009222024,0.953026195,0.491511554,49.48013656,0.075837877,0
4,483568.8,6989628,27.5,1.049,0.051096644,4.281342779,0.489272304,49.28917828,0.345273467,0
5,483887.4,6989494.2,27.04,0.932,0.009234968,0.839950268,0.476468998,48.19474728,0.073200756,0
6,483889.8,6989494.2,27.01,0.835,0.009219916,0.900704933,0.475638296,48.12358414,0.078896919,0
7,483935.4,6989520,26.68,1.077,0.042245731,2.987286954,0.466535448,47.34252099,0.276873981,0
8,483936,6989521.2,26.71,1.018,0.042254586,3.15528898,0.467360333,47.4133952,0.290939414,0
9,483934.8,6989521.8,26.59,1.059,0.042102057,3.01221758,0.464063976,47.13005672,0.283551159,0
10,483934.2,6989520.6,26.5,1.064,0.041983268,2.984006539,0.461597283,46.91783046,0.285303208,0
11,483870.6,6989532.6,26.55,1.345,0.012240003,0.700211112,0.462967078,47.03570452,0.066370733,0
12,483868.2,6989538.6,26.27,1.248,0.011594043,0.703227613,0.455315277,46.37655943,0.069981535,0
13,483871.2,6989530.8,26.14,1.485,0.012324176,0.628208757,0.45177845,46.07131618,0.06395581,0
14,483872.4,6989531.4,26.23,1.477,0.012354297,0.642183781,0.454225954,46.28258504,0.064355325,0
15,483919.2,6989463,26.06,0.876,0.012541484,1.789599296,0.449606933,45.88372372,0.184773832,0
16,483889.8,6989492.4,26.13,1.111,0.009306346,0.756309041,0.451506802,46.04785671,0.077132589,0
17,483889.8,6989495.4,26.07,0.848,0.009900788,0.975503205,0.449878164,45.90716236,0.100542297,0
18,483867,6989535.6,25.93,1.236,0.011662263,0.737835644,0.446086344,45.57929264,0.077948768,0
19,483868.2,6989535.6,25.93,1.25,0.011665069,0.728367336,0.446086344,45.57929264,0.076948487,0
20,483891,6989497.2,25.82,1.046,0.009601343,0.803588297,0.443115257,45.32209146,0.086567035,0
21,483861,6989503.8,25.81,1.226,0.01132925,0.788944699,0.442845516,45.2987275,0.085140687,0
22,483936.6,6989520,25.72,1.094,0.042445052,3.051523997,0.440420543,45.08858682,0.334630192,0
23,483869.4,6989535.6,25.76,1.28,0.011608082,0.701983734,0.441497711,45.18195267,0.076432872,0
24,483918.6,6989460,25.68,1.01,0.012621291,1.719685607,0.439344332,44.99526904,0.189931589,0
25,483890.4,6989490,25.61,1.123,0.009723796,0.787981002,0.437463271,44.83207874,0.088125114,0
26,483934.2,6989517.6,25.65,1.156,0.030638603,2.170409856,0.438537804,44.92531228,0.241000414,0
27,483568.8,6989632.2,25.67,0.544,0.087379328,10.41007246,0.43907543,44.97194711,1.151801319,0
28,483919.8,6989460,25.5,1.013,0.012534449,1.690291064,0.434513255,44.57593522,0.192804068,0
29,483889.8,6989497.2,25.56,0.989,0.009923095,0.885646531,0.436121454,44.71560461,0.099939183,0
30,483883.2,6989467.8,25.46,1.894,0.010227591,0.679852853,0.433442323,44.48288272,0.078107912,0
31,483888,6989496.6,25.4,0.909,0.009862663,0.927612388,0.43183773,44.34339473,0.107731712,0
32,483890.4,6989481.6,25.35,1.942,0.010686882,0.599794317,0.430502223,44.22723804,0.0702913,0
33,483893.4,6989490.6,25.27,0.823,0.009588943,0.958608787,0.428368545,44.04154512,0.113980768,0
34,483933.6,6989522.4,25.27,1.119,0.041820754,2.875581185,0.428368545,44.04154512,0.341913152,0
35,483853.2,6989545.8,25.36,1.119,0.011276304,0.770450236,0.430769204,44.25046331,0.090127804,0
36,483921,6989462.4,25.16,0.892,0.009609321,1.394830561,0.425441041,43.78653512,0.169197061,0
37,483894.6,6989490.6,25.25,0.802,0.009581077,0.970962057,0.427835728,43.99515227,0.115869235,0
38,483937.2,6989521.2,25.17,1.011,0.042407525,3.312768527,0.425706876,43.80970262,0.401117635,0
39,483885.6,6989455.2,25.06,1.483,0.009768731,0.988561735,0.422786017,43.55502796,0.122123338,0
40,483920.4,6989461.2,25.14,0.942,0.009600296,1.364927759,0.424909552,43.74020927,0.166174094,0
41,483933.6,6989519.4,25.13,1.105,0.030650949,2.294194216,0.424643899,43.71705092,0.27981786,0
42,483870,6989530.2,25.11,1.46,0.012340524,0.665729958,0.424112773,43.67074338,0.08149434,0
43,483873,6989532.6,25.04,1.45,0.012309854,0.66962741,0.422255739,43.50876318,0.08302644,0
44,483939,6989411.4,24.94,1.171,0.010765828,1.553161713,0.41960798,43.27762296,0.196137083,0
45,483883.2,6989465.4,24.97,1.858,0.010238467,0.723465192,0.420401671,43.34693286,0.09085933,0
46,483934.8,6989515.8,24.98,1.224,0.0305413,2.048800657,0.420666356,43.37004229,0.25683556,0
47,483931.8,6989526.6,25.02,1.177,0.041449898,2.991886153,0.421725702,43.46251064,0.372321225,0
48,483869.4,6989538,25.03,1.257,0.011737925,0.751253169,0.42199069,43.48563538,0.093317722,0
49,483814.8,6989611.8,25.01,1.717,0.021666365,0.603185667,0.421460775,43.43938896,0.075200195,0
50,483908.4,6989423.4,24.84,1.344,0.005094178,0.668751552,0.416966286,43.04678941,0.086019756,0
51,483903.6,6989426.4,24.91,1.162,0.003965367,0.578017912,0.418814834,43.20834065,0.073396986,0
52,483884.4,6989455.2,24.88,1.4,0.009681125,1.03051412,0.418022235,43.13908598,0.131579286,0
53,483874.2,6989532,24.86,1.414,0.012229784,0.683295903,0.417494139,43.09293155,0.087567246,0
54,483813,6989613.6,24.87,1.794,0.021664782,0.523360701,0.417758156,43.11600723,0.066947472,0
