BasinID,X,Y,H,root_depth,competence,M_D,Dbh,area,strain,stable
2,483569.4,6989629.8,27.76,0.778,0.063403611,11.6718128,0.496563455,49.91046308,0.9,0
3,483888.6,6989494.2,27.58,0.76,0.020218752,3.980482377,0.491511554,49.48013656,0.3,0
4,483568.8,6989628,27.5,1.102,0.06397932,10.01116316,0.489272304,49.28917828,0.8,0
5,483887.4,6989494.2,27.04,0.945,0.020200232,3.627477823,0.476468998,48.19474728,0.3,0
6,483889.8,6989494.2,27.01,0.846,0.020190908,3.808935347,0.475638296,48.12358414,0.3,0
7,483935.4,6989520,26.68,1.115,0.075363913,11.16304191,0.466535448,47.34252099,1,0
8,483936,6989521.2,26.71,1.054,0.075471095,11.60022511,0.467360333,47.4133952,1.1,0
9,483934.8,6989521.8,26.59,1.098,0.073238946,10.92512372,0.464063976,47.13005672,1,0
10,483934.2,6989520.6,26.5,1.104,0.072991442,10.82792699,0.461597283,46.91783046,1,0
11,483870.6,6989532.6,26.55,1.382,0.022170622,2.959636152,0.462967078,47.03570452,0.3,0
12,483868.2,6989538.6,26.27,1.283,0.020767481,2.873644865,0.455315277,46.37655943,0.3,0
13,483871.2,6989530.8,26.14,1.526,0.02228361,2.761652992,0.45177845,46.07131618,0.3,0
14,483872.4,6989531.4,26.23,1.517,0.022357803,2.808633714,0.454225954,46.28258504,0.3,0
15,483919.2,6989463,26.06,0.886,0.024849238,6.086233593,0.449606933,45.88372372,0.6,0
16,483889.8,6989492.4,26.13,1.126,0.020332308,3.364452787,0.451506802,46.04785671,0.3,0
17,483889.8,6989495.4,26.07,0.861,0.020801176,3.929795074,0.449878164,45.90716236,0.4,0
18,483867,6989535.6,25.93,1.27,0.020929609,2.972490534,0.446086344,45.57929264,0.3,0
19,483868.2,6989535.6,25.93,1.284,0.020928907,2.947264374,0.446086344,45.57929264,0.3,0
20,483891,6989497.2,25.82,1.063,0.019973664,3.362523854,0.443115257,45.32209146,0.4,0
21,483861,6989503.8,25.81,1.249,0.02294636,3.439778551,0.442845516,45.2987275,0.4,0
22,483936.6,6989520,25.72,1.131,0.075800194,11.28947682,0.440420543,45.08858682,1.2,0
23,483869.4,6989535.6,25.76,1.315,0.020794937,2.861549596,0.441497711,45.18195267,0.3,0
24,483918.6,6989460,25.68,1.021,0.025011074,5.911707517,0.439344332,44.99526904,0.7,0
25,483890.4,6989490,25.61,1.14,0.020720578,3.406350878,0.437463271,44.83207874,0.4,0
26,483934.2,6989517.6,25.65,1.19,0.056098961,8.319029601,0.438537804,44.92531228,0.9,0
27,483568.8,6989632.2,25.67,0.592,0.103945319,20.83912356,0.43907543,44.97194711,2.3,0
28,483919.8,6989460,25.5,1.024,0.024808792,5.811870559,0.434513255,44.57593522,0.7,0
29,483889.8,6989497.2,25.56,1.005,0.020814059,3.660133817,0.436121454,44.71560461,0.4,0
30,483883.2,6989467.8,25.46,1.909,0.023802569,3.39670467,0.433442323,44.48288272,0.4,0
31,483888,6989496.6,25.4,0.923,0.020688963,3.766533027,0.43183773,44.34339473,0.4,0
32,483890.4,6989481.6,25.35,1.966,0.023053666,2.948875979,0.430502223,44.22723804,0.3,0
33,483893.4,6989490.6,25.27,0.835,0.020474018,3.879159585,0.428368545,44.04154512,0.5,0
34,483933.6,6989522.4,25.27,1.158,0.072614277,10.43774928,0.428368545,44.04154512,1.2,0
35,483853.2,6989545.8,25.36,1.152,0.01970395,2.945198302,0.430769204,44.25046331,0.3,0
36,483921,6989462.4,25.16,0.9,0.019606496,4.855044278,0.425441041,43.78653512,0.6,0
37,483894.6,6989490.6,25.25,0.814,0.020459822,3.913209462,0.427835728,43.99515227,0.5,0
38,483937.2,6989521.2,25.17,1.045,0.075854213,11.90939037,0.425706876,43.80970262,1.4,0
39,483885.6,6989455.2,25.06,1.49,0.02254004,4.26852354,0.422786017,43.55502796,0.5,0
40,483920.4,6989461.2,25.14,0.95,0.019579892,4.773806217,0.424909552,43.74020927,0.6,0
41,483933.6,6989519.4,25.13,1.137,0.056190543,8.618753551,0.424643899,43.71705092,1.1,0
42,483870,6989530.2,25.11,1.498,0.022349454,2.846975743,0.424112773,43.67074338,0.3,0
43,483873,6989532.6,25.04,1.488,0.022289564,2.851098205,0.422255739,43.50876318,0.4,0
44,483939,6989411.4,24.94,1.158,0.033378922,8.042760499,0.41960798,43.27762296,1,0
45,483883.2,6989465.4,24.97,1.872,0.023863744,3.536025421,0.420401671,43.34693286,0.4,0
46,483934.8,6989515.8,24.98,1.259,0.055825662,7.939281408,0.420666356,43.37004229,1,0
47,483931.8,6989526.6,25.02,1.22,0.069702014,10.64896473,0.421725702,43.46251064,1.3,0
48,483869.4,6989538,25.03,1.29,0.021092303,3.001945989,0.42199069,43.48563538,0.4,0
49,483814.8,6989611.8,25.01,1.797,0.033806007,3.011210419,0.421460775,43.43938896,0.4,0
50,483908.4,6989423.4,24.84,1.312,0.026150749,5.878227302,0.416966286,43.04678941,0.8,0
51,483903.6,6989426.4,24.91,1.139,0.017055172,4.167216524,0.418814834,43.20834065,0.5,0
52,483884.4,6989455.2,24.88,1.405,0.022979426,4.506312319,0.418022235,43.13908598,0.6,0
53,483874.2,6989532,24.86,1.451,0.022136166,2.871581312,0.417494139,43.09293155,0.4,0
54,483813,6989613.6,24.87,1.879,0.033665373,2.774999589,0.417758156,43.11600723,0.4,0
55,483908.4,6989422.2,24.72,1.384,0.026648665,5.913199995,0.413804273,42.77019515,0.8,0
56,483921,6989460,24.77,1.048,0.019234098,4.467711665,0.415120714,42.88538885,0.6,0
57,483883.8,6989469,24.72,1.944,0.024146935,3.419294552,0.413804273,42.77019515,0.4,0
58,483862.8,6989503.8,24.79,1.214,0.023015878,3.561255756,0.415647716,42.93148791,0.5,0
59,483934.8,6989523,24.72,1.128,0.074246423,11.2229685,0.413804273,42.77019515,1.5,0
60,483627.6,6989641.2,24.79,0.889,0.104746826,16.51988236,0.415647716,42.93148791,2.1,0
61,483957.6,6989409,24.67,1.234,0.036923481,8.829176618,0.412489354,42.65507857,1.2,0
62,483958.8,6989409,24.67,1.266,0.036912071,8.728663916,0.412489354,42.65507857,1.2,0
63,483879.6,6989461.2,24.67,1.553,0.02585912,4.661531022,0.412489354,42.65507857,0.6,0
64,483922.2,6989462.4,24.67,0.9,0.019662667,4.87987129,0.412489354,42.65507857,0.6,0
65,483883.8,6989463.6,24.67,1.892,0.024144917,3.60877729,0.412489354,42.65507857,0.5,0
66,483889.8,6989484,24.62,1.779,0.023264809,3.018931814,0.411175959,42.54003922,0.4,0
67,483893.4,6989488.2,24.61,0.979,0.022047998,4.006655184,0.410913463,42.51704063,0.5,0
68,483862.8,6989499,24.63,1.218,0.022892058,3.649278271,0.411438516,42.56304091,0.5,0
69,483844.2,6989510.4,24.67,0.772,0.029393881,5.67969012,0.412489354,42.65507857,0.8,0
70,483876.6,6989528.4,24.61,1.312,0.022147813,3.201130019,0.410913463,42.51704063,0.4,0
71,483865.2,6989536.2,24.68,1.309,0.021264026,3.029591714,0.412752216,42.67809571,0.4,0
72,483813.6,6989612.4,24.7,1.858,0.034114162,2.944450657,0.413278123,42.72413925,0.4,0
73,483573,6989628.6,24.64,0.928,0.060802142,10.71586741,0.411701134,42.58604569,1.4,0
74,483655.2,6989640,24.65,1.731,0.055761248,5.156277449,0.411963813,42.60905356,0.7,0
75,483858,6989463,24.55,1.896,0.031289829,4.560540513,0.409339767,42.37911408,0.6,0
76,483888,6989489.4,24.58,1.315,0.021727471,3.319834235,0.41012634,42.44806342,0.4,0
77,483891.6,6989494.2,24.56,0.949,0.020795389,3.781827324,0.409601897,42.4020941,0.5,0
78,483932.4,6989517.6,24.6,1.151,0.056241954,8.602754279,0.410651028,42.49404513,1.2,0
79,483810,6989612.4,24.53,1.918,0.033926358,2.741266358,0.40881569,42.33316335,0.4,0
80,483907.2,6989422.8,24.4,1.565,0.026215553,5.269321175,0.40541515,42.03478626,0.7,0
81,483903,6989425.2,24.49,1.255,0.01713687,4.030671001,0.407768269,42.24129911,0.6,0
82,483924,6989463,24.45,0.886,0.019459685,4.812367168,0.406721827,42.14948454,0.7,0
83,483855,6989469.6,24.48,1.46,0.024731354,4.353094521,0.407506567,42.21834081,0.6,0
84,483892.2,6989496.6,24.4,1.078,0.020155338,3.41933791,0.40541515,42.03478626,0.5,0
85,483864,6989502.6,24.44,1.18,0.023208017,3.718229604,0.406460369,42.12653867,0.5,0
86,483935.4,6989517.6,24.39,1.22,0.059377094,8.616235511,0.405153998,42.01185594,1.2,0
87,483867.6,6989532.6,24.44,1.248,0.021422618,3.150372817,0.406460369,42.12653867,0.4,0
88,483853.2,6989543.4,24.46,1.089,0.018782981,2.949314712,0.406983346,42.17243353,0.4,0
89,483814.2,6989613.6,24.48,1.852,0.033844209,2.897448493,0.407506567,42.21834081,0.4,0
90,483655.8,6989638.2,24.44,1.631,0.051025363,5.048894873,0.406460369,42.12653867,0.7,0
91,483657,6989638.8,24.4,1.643,0.050952579,4.991467877,0.40541515,42.03478626,0.7,0
92,483952.8,6989407.2,24.32,1.335,0.040300899,8.948288762,0.40332765,41.85143089,1.3,0
93,483936.6,6989413.8,24.32,1.08,0.033286051,8.248747097,0.40332765,41.85143089,1.2,0
94,483926.4,6989416.8,24.39,1.156,0.028964763,7.020839315,0.405153998,42.01185594,1,0
95,483905.4,6989425.2,24.38,1.239,0.014320906,3.402791132,0.404892907,41.98892873,0.5,0
96,483886.8,6989456.4,24.33,1.698,0.022332695,3.746822268,0.403588373,41.8743394,0.5,0
97,483919.8,6989465.4,24.34,0.831,0.025004708,6.238885182,0.403849158,41.89725104,0.9,0
98,483881.4,6989467.2,24.39,1.766,0.023841959,3.699357377,0.405153998,42.01185594,0.5,0
99,483854.4,6989545.8,24.38,1.19,0.01979332,2.925152173,0.404892907,41.98892873,0.4,0
100,483843,6989551.8,24.3,1.185,0.019964921,2.973012721,0.402806388,41.80562322,0.4,0
101,483709.8,6989649,24.3,1.965,0.043734904,3.208713023,0.402806388,41.80562322,0.5,0
102,483922.8,6989422.2,24.24,1.104,0.022696551,5.960725317,0.401244075,41.66827512,0.9,0
103,483883.2,6989460.6,24.24,1.752,0.024298165,3.992622413,0.401244075,41.66827512,0.6,0
104,483882,6989461.8,24.23,1.782,0.024281442,3.913539865,0.400983904,41.64539471,0.6,0
105,483922.2,6989464.2,24.2,0.851,0.019747378,4.981854388,0.40020376,41.57677223,0.7,0
106,483884.4,6989465.4,24.2,1.913,0.024191019,3.575510211,0.40020376,41.57677223,0.5,0
107,483915.6,6989467.2,24.22,0.886,0.025504343,6.276789726,0.400723795,41.62251742,0.9,0
108,483853.2,6989479.8,24.18,0.833,0.017396688,3.481079399,0.399683971,41.53103956,0.5,0
109,483891.6,6989488.8,24.23,1.16,0.02218525,3.715465002,0.400983904,41.64539471,0.5,0
110,483933,6989527.2,24.28,1.086,0.069199376,11.31578546,0.402285372,41.75982803,1.6,0
111,483868.8,6989531.4,24.27,1.329,0.021271447,2.983986095,0.402024955,41.73693512,0.4,0
112,483868.8,6989533.8,24.18,1.298,0.021678414,3.141538616,0.399683971,41.53103956,0.5,0
113,483709.8,6989647.2,24.19,2.205,0.044550542,2.720056508,0.399943835,41.55390433,0.4,0
114,483916.8,6989461.8,24.12,0.954,0.025130202,6.062803323,0.39812608,41.39391671,0.9,0
115,483859.2,6989462.4,24.1,1.773,0.031445128,4.962474754,0.397607275,41.34823418,0.7,0
116,483888,6989490.6,24.1,1.273,0.020469204,3.18205135,0.397607275,41.34823418,0.5,0
117,483873.6,6989530.2,24.12,1.59,0.022450199,2.752008781,0.39812608,41.39391671,0.4,0
118,483839.4,6989553,24.17,1.483,0.019816867,2.548086521,0.399424169,41.50817792,0.4,0
119,483655.2,6989635.8,24.13,1.391,0.051478443,6.114433743,0.398385575,41.41676268,0.9,0
120,483712.2,6989651.4,24.16,1.428,0.05515655,6.23014342,0.399164428,41.48531941,0.9,0
121,483935.4,6989413.8,24.03,1.086,0.033693465,8.410204333,0.395793397,41.18844419,1.3,0
122,483937.8,6989414.4,24.02,1.054,0.03368891,8.514549567,0.395534518,41.16562962,1.3,0
123,483936,6989415,24.01,1.086,0.019533879,5.080151221,0.395275701,41.14281819,0.8,0
