BasinID,X,Y,H,root_depth,competence,M_D,Dbh,area,strain,stable
2,483569.4,6989629.8,27.76,0.762,0.055665096,8.130465131,0.496563455,49.91046308,0.6,0
3,483888.6,6989494.2,27.58,0.754,0.014850391,2.246598939,0.491511554,49.48013656,0.2,0
4,483568.8,6989628,27.5,1.083,0.056219605,6.821350445,0.489272304,49.28917828,0.6,0
5,483887.4,6989494.2,27.04,0.938,0.014849806,2.022306064,0.476468998,48.19474728,0.2,0
6,483889.8,6989494.2,27.01,0.84,0.014836829,2.139897448,0.475638296,48.12358414,0.2,0
7,483935.4,6989520,26.68,1.099,0.059640257,6.560843179,0.466535448,47.34252099,0.6,0
8,483936,6989521.2,26.71,1.039,0.059697612,6.857602563,0.467360333,47.4133952,0.6,0
9,483934.8,6989521.8,26.59,1.082,0.0585079,6.493025158,0.464063976,47.13005672,0.6,0
10,483934.2,6989520.6,26.5,1.087,0.058324963,6.434173254,0.461597283,46.91783046,0.6,0
11,483870.6,6989532.6,26.55,1.369,0.016936177,1.615543857,0.462967078,47.03570452,0.2,0
12,483868.2,6989538.6,26.27,1.271,0.015906283,1.584368408,0.455315277,46.37655943,0.2,0
13,483871.2,6989530.8,26.14,1.511,0.017032081,1.487345753,0.45177845,46.07131618,0.2,0
14,483872.4,6989531.4,26.23,1.502,0.017082407,1.515271276,0.454225954,46.28258504,0.2,0
15,483919.2,6989463,26.06,0.881,0.018835384,3.686911355,0.449606933,45.88372372,0.4,0
16,483889.8,6989492.4,26.13,1.119,0.01495256,1.855461528,0.451506802,46.04785671,0.2,0
17,483889.8,6989495.4,26.07,0.855,0.015421197,2.233147013,0.449878164,45.90716236,0.2,0
18,483867,6989535.6,25.93,1.258,0.016017795,1.646872024,0.446086344,45.57929264,0.2,0
19,483868.2,6989535.6,25.93,1.272,0.016018834,1.630396926,0.446086344,45.57929264,0.2,0
20,483891,6989497.2,25.82,1.056,0.014831766,1.880485483,0.443115257,45.32209146,0.2,0
21,483861,6989503.8,25.81,1.239,0.017184732,1.893767996,0.442845516,45.2987275,0.2,0
22,483936.6,6989520,25.72,1.115,0.059960124,6.658235446,0.440420543,45.08858682,0.7,0
23,483869.4,6989535.6,25.76,1.302,0.015926695,1.578922293,0.441497711,45.18195267,0.2,0
24,483918.6,6989460,25.68,1.016,0.018955951,3.566452854,0.439344332,44.99526904,0.4,0
