BasinID,X,Y,H,root_depth,competence,M_D,Dbh,area,strain,stable
2,483569.4,6989629.8,27.76,0.784,0.06984697,14.52086822,0.496563455,49.91046308,1.1,0
3,483888.6,6989494.2,27.58,0.765,0.022587235,5.087654046,0.491511554,49.48013656,0.4,0
4,483568.8,6989628,27.5,1.11,0.070456495,12.58687543,0.489272304,49.28917828,1,0
5,483887.4,6989494.2,27.04,0.951,0.022557192,4.662913721,0.476468998,48.19474728,0.4,0
6,483889.8,6989494.2,27.01,0.852,0.022550662,4.878812956,0.475638296,48.12358414,0.4,0
7,483935.4,6989520,26.68,1.126,0.082171143,14.1630484,0.466535448,47.34252099,1.3,0
8,483936,6989521.2,26.71,1.065,0.082306014,14.67870009,0.467360333,47.4133952,1.4,0
9,483934.8,6989521.8,26.59,1.109,0.079542246,13.79487858,0.464063976,47.13005672,1.3,0
10,483934.2,6989520.6,26.5,1.115,0.079261744,13.67320079,0.461597283,46.91783046,1.3,0
11,483870.6,6989532.6,26.55,1.391,0.02456357,3.871846662,0.462967078,47.03570452,0.4,0
12,483868.2,6989538.6,26.27,1.292,0.022983453,3.74243009,0.455315277,46.37655943,0.4,0
13,483871.2,6989530.8,26.14,1.536,0.024683643,3.633979033,0.45177845,46.07131618,0.4,0
14,483872.4,6989531.4,26.23,1.526,0.024770785,3.69304762,0.454225954,46.28258504,0.4,0
15,483919.2,6989463,26.06,0.891,0.027409756,7.546727206,0.449606933,45.88372372,0.8,0
16,483889.8,6989492.4,26.13,1.133,0.022701369,4.34635915,0.451506802,46.04785671,0.4,0
17,483889.8,6989495.4,26.07,0.867,0.023182267,5.017400441,0.449878164,45.90716236,0.5,0
18,483867,6989535.6,25.93,1.278,0.023172222,3.862984303,0.446086344,45.57929264,0.4,0
19,483868.2,6989535.6,25.93,1.293,0.023170459,3.832775129,0.446086344,45.57929264,0.4,0
20,483891,6989497.2,25.82,1.07,0.022252908,4.326258742,0.443115257,45.32209146,0.5,0
21,483861,6989503.8,25.81,1.257,0.025525408,4.463947543,0.442845516,45.2987275,0.5,0
22,483936.6,6989520,25.72,1.142,0.0826633,14.30120989,0.440420543,45.08858682,1.6,0
23,483869.4,6989535.6,25.76,1.323,0.023014018,3.725492361,0.441497711,45.18195267,0.4,0
24,483918.6,6989460,25.68,1.026,0.027590563,7.344841338,0.439344332,44.99526904,0.8,0
25,483890.4,6989490,25.61,1.146,0.023097122,4.391495919,0.437463271,44.83207874,0.5,0
26,483934.2,6989517.6,25.65,1.2,0.061445636,10.59748745,0.438537804,44.92531228,1.2,0
27,483568.8,6989632.2,25.67,0.602,0.10718135,24.10284171,0.43907543,44.97194711,2.7,0
28,483919.8,6989460,25.5,1.029,0.027358467,7.22107871,0.434513255,44.57593522,0.8,0
