BasinID,X,Y,H,root_depth,competence,M_D,Dbh,area,strain,stable
2,483569.4,6989629.8,27.76,0.747,0.050507112,6.53676709,0.496563455,49.91046308,0.409020151,0
3,483888.6,6989494.2,27.58,0.752,0.009222024,1.438862712,0.491511554,49.48013656,0.075837877,0
4,483568.8,6989628,27.5,1.067,0.051096644,5.38789216,0.489272304,49.28917828,0.345273467,0
5,483887.4,6989494.2,27.04,0.936,0.009234968,1.282333493,0.476468998,48.19474728,0.073200756,0
6,483889.8,6989494.2,27.01,0.838,0.009219916,1.36545035,0.475638296,48.12358414,0.078896919,0
7,483935.4,6989520,26.68,1.089,0.042245731,4.385103939,0.466535448,47.34252099,0.276873981,0
8,483936,6989521.2,26.71,1.029,0.042254586,4.605795856,0.467360333,47.4133952,0.290939414,0
9,483934.8,6989521.8,26.59,1.071,0.042102057,4.379644773,0.464063976,47.13005672,0.283551159,0
10,483934.2,6989520.6,26.5,1.076,0.041983268,4.339335471,0.461597283,46.91783046,0.285303208,0
11,483870.6,6989532.6,26.55,1.359,0.012240003,1.026773514,0.462967078,47.03570452,0.066370733,0
12,483868.2,6989538.6,26.27,1.262,0.011594043,1.015301469,0.455315277,46.37655943,0.069981535,0
13,483871.2,6989530.8,26.14,1.501,0.012324176,0.934235266,0.45177845,46.07131618,0.06395581,0
14,483872.4,6989531.4,26.23,1.492,0.012354297,0.953240481,0.454225954,46.28258504,0.064355325,0
15,483919.2,6989463,26.06,0.88,0.012541484,2.520352929,0.449606933,45.88372372,0.184773832,0
16,483889.8,6989492.4,26.13,1.115,0.009306346,1.166163706,0.451506802,46.04785671,0.077132589,0
17,483889.8,6989495.4,26.07,0.852,0.009900788,1.443490413,0.449878164,45.90716236,0.100542297,0
18,483867,6989535.6,25.93,1.249,0.011662263,1.05986734,0.446086344,45.57929264,0.077948768,0
19,483868.2,6989535.6,25.93,1.263,0.011665069,1.047882253,0.446086344,45.57929264,0.076948487,0
20,483891,6989497.2,25.82,1.052,0.009601343,1.203221912,0.443115257,45.32209146,0.086567035,0
21,483861,6989503.8,25.81,1.234,0.01132925,1.19700374,0.442845516,45.2987275,0.085140687,0
22,483936.6,6989520,25.72,1.105,0.042445052,4.46351061,0.440420543,45.08858682,0.334630192,0
23,483869.4,6989535.6,25.76,1.294,0.011608082,1.012553455,0.441497711,45.18195267,0.076432872,0
24,483918.6,6989460,25.68,1.014,0.012621291,2.430210926,0.439344332,44.99526904,0.189931589,0
25,483890.4,6989490,25.61,1.128,0.009723796,1.198614833,0.437463271,44.83207874,0.088125114,0
26,483934.2,6989517.6,25.65,1.167,0.030638603,3.211469247,0.438537804,44.92531228,0.241000414,0
27,483568.8,6989632.2,25.67,0.558,0.087379328,12.69654654,0.43907543,44.97194711,1.151801319,0
28,483919.8,6989460,25.5,1.017,0.012534449,2.388830637,0.434513255,44.57593522,0.192804068,0
29,483889.8,6989497.2,25.56,0.994,0.009923095,1.32169813,0.436121454,44.71560461,0.099939183,0
30,483883.2,6989467.8,25.46,1.898,0.010227591,1.096753038,0.433442323,44.48288272,0.078107912,0
31,483888,6989496.6,25.4,0.913,0.009862663,1.376200394,0.43183773,44.34339473,0.107731712,0
32,483890.4,6989481.6,25.35,1.949,0.010686882,0.963462517,0.430502223,44.22723804,0.0702913,0
